record_id,redcap_event_name,redcap_repeat_instrument,redcap_repeat_instance,mic50_who_1,mic50_who_2,mic50_who_3,mic50_who_4,mic50_who_5,mic50_who_6,mic50_who_7,mic50_country_1,mic50_country_2,mic50_country_3,mic50_country_4,mic50_country_5,mic50_country_6,mic50_country_7,ddwho1,ddcountry1
1,mic_data_extractio_arm_1,mic_data_extraction,1,3,,,,,,,Egypt,,,,,,,,
2,mic_data_extractio_arm_1,mic_data_extraction,1,,,,,,,,(unknown),(unknown),(unknown),,,,,,
3,mic_data_extractio_arm_1,mic_data_extraction,1,4,4,4,4,4,,,France,Italy,Spain,Sweden,Turkey,,,,
4,mic_data_extractio_arm_1,mic_data_extraction,1,4,4,4,4,4,4,4,UK,Norway,Sweden,Denmark,Finland,Germany,Netherlands,,
4,mic_data_extractio_arm_1,mic_data_extraction,2,4,4,4,4,4,4,4,Switzerland,France,Spain,Poland,"Slovak Republic",Hungary,Croatia,,
4,mic_data_extractio_arm_1,mic_data_extraction,3,4,4,4,6,6,1,,Slovenia,Italy,Greece,"Hong Kong",Singapore,"South Africa",,,
5,mic_data_extractio_arm_1,mic_data_extraction,1,3,3,3,,,,,Morocco,Morocco,Morocco,,,,,,
6,mic_data_extractio_arm_1,mic_data_extraction,1,4,,,,,,,Serbia,,,,,,,,
7,mic_data_extractio_arm_1,mic_data_extraction,1,4,,,,,,,Spain,,,,,,,,
8,mic_data_extractio_arm_1,mic_data_extraction,1,2,,,,,,,Canada,,,,,,,,
9,mic_data_extractio_arm_1,mic_data_extraction,1,4,4,4,4,,,,Austria,Austria,Austria,Austria,,,,,
10,mic_data_extractio_arm_1,mic_data_extraction,1,4,,,,,,,Austria,,,,,,,,
11,mic_data_extractio_arm_1,mic_data_extraction,1,4,,,,,,,Spain,,,,,,,,
12,mic_data_extractio_arm_1,mic_data_extraction,1,2,,,,,,,USA,,,,,,,,
13,mic_data_extractio_arm_1,mic_data_extraction,1,6,6,6,6,6,6,5,"Hong Kong",Japan,Japan,Japan,"South Korea",Australia,Indonesia,,
13,mic_data_extractio_arm_1,mic_data_extraction,2,4,4,4,4,4,4,4,Hungary,Poland,Turkey,Turkey,Austria,Austria,Belgium,,
13,mic_data_extractio_arm_1,mic_data_extraction,3,4,4,4,4,4,4,4,France,Germany,Germany,Italy,Netherlands,Portugal,Spain,,
13,mic_data_extractio_arm_1,mic_data_extraction,4,4,4,4,4,2,2,2,Spain,Sweden,Switzerland,"United Kingdom",Argentina,Brazil,Mexico,,
13,mic_data_extractio_arm_1,mic_data_extraction,5,2,2,2,2,2,,,Mexico,Canada,Canada,USA,USA,,,,
14,mic_data_extractio_arm_1,mic_data_extraction,1,4,,,,,,,Italy,,,,,,,,
15,mic_data_extractio_arm_1,mic_data_extraction,1,4,4,,,,,,Israel,Israel,,,,,,,
16,mic_data_extractio_arm_1,mic_data_extraction,1,4,4,4,4,,,,France,France,France,France,,,,,
17,mic_data_extractio_arm_1,mic_data_extraction,1,2,2,,,,,,USA,USA,,,,,,,
18,mic_data_extractio_arm_1,mic_data_extraction,1,2,,,,,,,Brazil,,,,,,,,
19,mic_data_extractio_arm_1,mic_data_extraction,1,4,4,,,,,,France,France,,,,,,,
20,mic_data_extractio_arm_1,mic_data_extraction,1,,,,,,,,worldwide,,,,,,,,
21,mic_data_extractio_arm_1,mic_data_extraction,1,,,,,,,,worldwide,,,,,,,,
22,mic_data_extractio_arm_1,mic_data_extraction,1,4,,,,,,,Sweden,,,,,,,,
23,mic_data_extractio_arm_1,mic_data_extraction,1,4,4,,,,,,Austria,Hungary,,,,,,,
24,mic_data_extractio_arm_1,mic_data_extraction,1,4,,,,,,,Spain,,,,,,,,
26,mic_data_extractio_arm_1,mic_data_extraction,1,2,2,2,,,,,USA,USA,USA,,,,,,
27,mic_data_extractio_arm_1,mic_data_extraction,1,6,,,,,,,Japan,,,,,,,,
