"record_id","country","who","isolate_yr","micnos_q90","count","alpha_3_code","alpha_2_code","numeric","economy","income_group","redcap_number","median_year","med_grp","midpoint_year","midpoint_grp","mean_year","mean_grp"
2,"Unknown",NA,2006,0.0204,10,NA,NA,NA,NA,NA,NA,2006,1,2006,1,2006,"1"
5,"Morocco",3,2006,0.032,65,"MAR","MA",504,"Morocco","Lower middle income",151,2006,1,2006,1,2006,"1"
13,"Argentina",2,2000,0.008,33,"ARG","AR",32,"Argentina","Upper middle income",11,2000,1,2000,1,2000,"1"
13,"Australia",6,2000,0.008,25,"AUS","AU",36,"Australia","High income",14,1999,2,1999,2,1999,"2"
13,"Austria",4,2000,0.008,25,"AUT","AT",40,"Austria","High income",15,1998,2,1998,2,1998,"2"
13,"Belgium",4,2000,0.008,19,"BEL","BE",56,"Belgium","High income",22,2000,1,2000,1,2000,"1"
13,"Brazil",2,2000,0.008,145,"BRA","BR",76,"Brazil","Upper middle income",32,2002,1,2002,1,2002,"1"
13,"Canada",2,2000,0.008,208,"CAN","CA",124,"Canada","High income",40,1998,2,1997,2,1998,"2"
13,"France",4,2000,0.008,31,"FRA","FR",250,"France","High income",76,1998,2,1998,2,1998,"2"
13,"Germany",4,2000,0.008,87,"DEU","DE",276,"Germany","High income",83,2000,1,1997,2,1998,"2"
13,"Hong Kong",6,2000,0.008,25,"HKG","HK",344,"Hong Kong SAR, China","High income",100,2000,1,2000,1,2000,"1"
13,"Hungary",4,2000,0.008,28,"HUN","HU",348,"Hungary","High income",101,2000,1,2000,1,2000,"1"
13,"Indonesia",5,2000,0.008,6,"IDN","ID",360,"Indonesia","Upper middle income",104,2000,1,2000,1,2000,"1"
13,"Italy",4,2000,0.008,49,"ITA","IT",380,"Italy","High income",110,1997,2,1998.5,2,1998,"2"
13,"Japan",6,2000,0.008,120,"JPN","JP",392,"Japan","High income",112,1985,2,1992.5,2,1991,"2"
13,"Mexico",2,2000,0.008,99,"MEX","MX",484,"Mexico","Upper middle income",144,2000,1,2000,1,2000,"1"
13,"Netherlands (Kingdom Of The)",4,2000,0.008,13,"NLD","NL",528,"Netherlands","High income",157,2000,1,2000,1,2000,"1"
13,"Poland",4,2000,0.008,12,"POL","PL",616,"Poland","High income",177,2000,1,2000,1,2000,"1"
13,"Portugal",4,2000,0.008,42,"PRT","PT",620,"Portugal","High income",178,2000,1,2000,1,2000,"1"
13,"Korea (The Republic Of)",6,2000,0.008,57,"KOR","KR",410,"Korea, Rep.","High income",119,2000,1,2000,1,2000,"1"
13,"Spain",4,2000,0.008,52,"ESP","ES",724,"Spain","High income",209,2000,1,2000,1,2000,"1"
13,"Sweden",4,2000,0.008,25,"SWE","SE",752,"Sweden","High income",215,2000,1,2002.5,1,2001,"1"
13,"Switzerland",4,2000,0.008,114,"CHE","CH",756,"Switzerland","High income",216,2000,1,2000,1,2000,"1"
13,"Turkiye",4,2000,0.008,54,"TUR","TR",792,"Türkiye","Upper middle income",228,2006,1,2006,1,2006,"1"
13,"United States Of America (The)",2,2000,0.008,174,"USA","US",840,"United States","High income",236,2001.5,1,1992,2,1998,"2"
13,"United Kingdom Of Great Britain And Northern Ireland (The)",4,2000,0.008,42,"GBR","GB",826,"United Kingdom","High income",235,2008,1,2008,1,2008,"1"
16,"France",4,1996,0.016,324,"FRA","FR",250,"France","High income",76,1998,1,1998,1,1998,"1"
26,"United States Of America (The)",2,1980,0.0125,280,"USA","US",840,"United States","High income",236,2001.5,1,1992,1,1998,"1"
28,"Japan",6,2015,0.016,307,"JPN","JP",392,"Japan","High income",112,1985,2,1992.5,2,1991,"2"
32,"United States Of America (The)",2,1977,0.016,140,"USA","US",840,"United States","High income",236,2001.5,1,1992,1,1998,"1"
35,"Austria",4,1996,0.016,50,"AUT","AT",40,"Austria","High income",15,1998,1,1998,1,1998,"1"
46,"Australia",6,1998,0.016,1,"AUS","AU",36,"Australia","High income",14,1999,1,1999,1,1999,"1"
46,"Canada",2,1991,0.012,1,"CAN","CA",124,"Canada","High income",40,1998,1,1997,1,1998,"1"
46,"Canada",2,1995,0.016,1,"CAN","CA",124,"Canada","High income",40,1998,1,1997,1,1998,"1"
46,"Canada",2,1998,0.0152,3,"CAN","CA",124,"Canada","High income",40,1998,1,1997,2,1998,"1"
46,"Canada",2,2002,0.0156,2,"CAN","CA",124,"Canada","High income",40,1998,2,1997,2,1998,"2"
46,"Canada",2,2003,0.016,2,"CAN","CA",124,"Canada","High income",40,1998,2,1997,2,1998,"2"
46,"Canada",4,1997,0.016,1,"CAN","CA",124,"Canada","High income",40,1998,1,1997,1,1998,"1"
46,"Finland",4,1995,0.016,1,"FIN","FI",246,"Finland","High income",75,2008,1,2005,1,2006,"1"
46,"Finland",4,1996,0.012,1,"FIN","FI",246,"Finland","High income",75,2008,1,2005,1,2006,"1"
46,"Finland",4,2000,0.012,1,"FIN","FI",246,"Finland","High income",75,2008,1,2005,1,2006,"1"
46,"Finland",4,2004,0.016,1,"FIN","FI",246,"Finland","High income",75,2008,1,2005,1,2006,"1"
46,"Finland",4,2006,0.012,1,"FIN","FI",246,"Finland","High income",75,2008,1,2005,2,2006,"1"
46,"Finland",4,2008,0.0223,2,"FIN","FI",246,"Finland","High income",75,2008,1,2005,2,2006,"2"
46,"Finland",4,2010,0.012,1,"FIN","FI",246,"Finland","High income",75,2008,2,2005,2,2006,"2"
46,"Finland",4,2011,0.016,2,"FIN","FI",246,"Finland","High income",75,2008,2,2005,2,2006,"2"
46,"Finland",4,2012,0.016,2,"FIN","FI",246,"Finland","High income",75,2008,2,2005,2,2006,"2"
46,"Finland",4,2014,0.016,1,"FIN","FI",246,"Finland","High income",75,2008,2,2005,2,2006,"2"
46,"Finland",4,2015,0.016,1,"FIN","FI",246,"Finland","High income",75,2008,2,2005,2,2006,"2"
46,"Germany",4,1984,0.016,1,"DEU","DE",276,"Germany","High income",83,2000,1,1997,1,1998,"1"
46,"Iceland",4,2006,0.016,1,"ISL","IS",352,"Iceland","High income",102,2004,2,2004,2,2004,"2"
46,"Italy",4,1997,0.012,1,"ITA","IT",380,"Italy","High income",110,1997,1,1998.5,1,1998,"1"
46,"Norway",4,2004,0.016,1,"NOR","NO",578,"Norway","High income",166,2004,1,2004,1,2004,"1"
46,"Sweden",4,1998,0.016,1,"SWE","SE",752,"Sweden","High income",215,2000,1,2002.5,1,2001,"1"
46,"Sweden",4,2007,0.016,1,"SWE","SE",752,"Sweden","High income",215,2000,2,2002.5,2,2001,"2"
46,"United Kingdom Of Great Britain And Northern Ireland (The)",4,2016,0.016,1,"GBR","GB",826,"United Kingdom","High income",235,2008,2,2008,2,2008,"2"
46,"United States Of America (The)",2,1996,0.012,1,"USA","US",840,"United States","High income",236,2001.5,1,1992,2,1998,"1"
46,"United States Of America (The)",2,1998,0.016,1,"USA","US",840,"United States","High income",236,2001.5,1,1992,2,1998,"1"
46,"United States Of America (The)",2,1999,0.016,2,"USA","US",840,"United States","High income",236,2001.5,1,1992,2,1998,"2"
46,"United States Of America (The)",2,2000,0.016,1,"USA","US",840,"United States","High income",236,2001.5,1,1992,2,1998,"2"
46,"United States Of America (The)",2,2003,0.016,4,"USA","US",840,"United States","High income",236,2001.5,2,1992,2,1998,"2"
46,"United States Of America (The)",2,2005,0.016,1,"USA","US",840,"United States","High income",236,2001.5,2,1992,2,1998,"2"
46,"United States Of America (The)",2,2006,0.0223,2,"USA","US",840,"United States","High income",236,2001.5,2,1992,2,1998,"2"
46,"United States Of America (The)",2,2008,0.0223,2,"USA","US",840,"United States","High income",236,2001.5,2,1992,2,1998,"2"
46,"United States Of America (The)",2,2009,0.012,1,"USA","US",840,"United States","High income",236,2001.5,2,1992,2,1998,"2"
46,"United States Of America (The)",2,2010,0.0288,3,"USA","US",840,"United States","High income",236,2001.5,2,1992,2,1998,"2"
46,"United States Of America (The)",2,2012,0.0256,5,"USA","US",840,"United States","High income",236,2001.5,2,1992,2,1998,"2"
46,"United States Of America (The)",2,2013,0.0288,3,"USA","US",840,"United States","High income",236,2001.5,2,1992,2,1998,"2"
46,"United States Of America (The)",4,2009,0.016,1,"USA","US",840,"United States","High income",236,2001.5,2,1992,2,1998,"2"
47,"Japan",6,1970,0.0125,2030,"JPN","JP",392,"Japan","High income",112,1985,1,1992.5,1,1991,"1"
48,"Japan",6,1981,0.0125,497,"JPN","JP",392,"Japan","High income",112,1985,1,1992.5,1,1991,"1"
49,"Japan",6,1978,0.0125,67,"JPN","JP",392,"Japan","High income",112,1985,1,1992.5,1,1991,"1"
60,"Japan",6,2008,0.015,12,"JPN","JP",392,"Japan","High income",112,1985,2,1992.5,2,1991,"2"
66,"Brazil",2,2004,0.004,130,"BRA","BR",76,"Brazil","Upper middle income",32,2002,2,2002,2,2002,"2"
67,"Iceland",4,1999,0.012,3,"ISL","IS",352,"Iceland","High income",102,2004,1,2004,1,2004,"1"
67,"Iceland",4,2000,0.016,1,"ISL","IS",352,"Iceland","High income",102,2004,1,2004,1,2004,"1"
67,"Iceland",4,2001,0.012,1,"ISL","IS",352,"Iceland","High income",102,2004,1,2004,1,2004,"1"
67,"Iceland",4,2002,0.023,5,"ISL","IS",352,"Iceland","High income",102,2004,1,2004,1,2004,"1"
67,"Iceland",4,2007,0.012,1,"ISL","IS",352,"Iceland","High income",102,2004,2,2004,2,2004,"2"
67,"Iceland",4,2008,0.012,2,"ISL","IS",352,"Iceland","High income",102,2004,2,2004,2,2004,"2"
67,"Iceland",4,2009,0.016,2,"ISL","IS",352,"Iceland","High income",102,2004,2,2004,2,2004,"2"
68,"Turkiye",4,2012,0.03,222,"TUR","TR",792,"Türkiye","Upper middle income",228,2006,2,2006,2,2006,"2"
70,"United States Of America (The)",2,1967,0.01,98,"USA","US",840,"United States","High income",236,2001.5,1,1992,1,1998,"1"
71,"United States Of America (The)",2,1971,0.016,103,"USA","US",840,"United States","High income",236,2001.5,1,1992,1,1998,"1"
74,"Germany",4,2010,0.015,1,"DEU","DE",276,"Germany","High income",83,2000,2,1997,2,1998,"2"
77,"India",5,2013,0.03,78,"IND","IN",356,"India","Lower middle income",103,2013,1,2013,1,2013,"1"
79,"United States Of America (The)",2,2017,0.012,5,"USA","US",840,"United States","High income",236,2001.5,2,1992,2,1998,"2"
80,"Italy",4,1997,0.03,934,"ITA","IT",380,"Italy","High income",110,1997,1,1998.5,1,1998,"1"
104,"United States Of America (The)",2,1987,0.02,20,"USA","US",840,"United States","High income",236,2001.5,1,1992,1,1998,"1"
108,"Japan",6,1985,0.016,670,"JPN","JP",392,"Japan","High income",112,1985,1,1992.5,1,1991,"1"
239,"Greece",4,1993,0.004,49,"GRC","GR",300,"Greece","High income",86,1993,1,1993,1,1993,"1"
