alpha_3_code,mean_grp,n,n_studies,mean_mic_ori,sd_mic_ori,mean_lo_ori,mean_hi_ori,change_mean_ori,change_se_ori,ci_change_lo_ori,ci_change_hi_ori,mean_year,entity,who_region
ARG,1,691,2,0.02694356005788712,0.00761470724572222,0.02637480569312482,0.027512314422649422,NA,NA,NA,NA,1998,Argentina,Americas
ARG,2,43,2,0.007767441860465117,4.2746257437545847e-4,0.007635888297776001,0.007898995423154231,-0.019176118197422005,2.9692125645506347e-4,-0.019759036997004566,-0.018593199397839443,1998,Argentina,Americas
AUS,1,1,1,0.016,NA,NA,NA,NA,NA,NA,NA,1999,Australia,Western Pacific
AUS,2,78,2,0.012756410256410257,0.0032878599894191523,0.012015112370921352,0.013497708141899161,-0.0032435897435897434,NA,NA,NA,1999,Australia,Western Pacific
AUT,1,313,3,0.02776357827476038,0.005137377109495421,0.027192224214072518,0.028334932335448246,NA,NA,NA,NA,1999,Austria,Europe
AUT,2,771,4,0.02930479896238651,0.0038154457525563404,0.029035056466221128,0.029574541458551894,0.001541220687626129,3.21252286676692e-4,9.108726590827136e-4,0.0021715687161695443,1999,Austria,Europe
BEL,1,69,2,0.013072463768115942,0.003149784495801494,0.012315802914585576,0.013829124621646307,NA,NA,NA,NA,2000,Belgium,Europe
BEL,2,16,1,0.01,0,0.01,0.01,-0.0030724637681159416,3.791894935633923e-4,-0.0038266564198785177,-0.0023182711163533655,2000,Belgium,Europe
BRA,1,1468,3,0.02495231607629428,0.008937282881669386,0.024494755045260257,0.0254098771073283,NA,NA,NA,NA,2001,Brazil,Americas
BRA,2,130,1,0.004492307692307692,0.0028617936421635936,0.0039957061443408135,0.004988909240274571,-0.020460008383986587,3.426510253660271e-4,-0.021132101744376935,-0.01978791502359624,2001,Brazil,Americas
CAN,1,1009,2,0.022946481665014867,7.092850818200416e-4,0.022902664414878652,0.022990298915151083,NA,NA,NA,NA,1998,Canada,Americas
CAN,2,262,3,0.009469465648854963,0.0028642703999627603,0.009121024066105314,0.009817907231604611,-0.013477016016159905,1.783584775418831e-4,-0.013826925945021174,-0.013127106087298635,1998,Canada,Americas
CHE,1,114,1,0.008,0,0.008,0.008,NA,NA,NA,NA,2001,Switzerland,Europe
CHE,2,7,1,0.015,0,0.015,0.015,0.006999999999999999,0,0.006999999999999999,0.006999999999999999,2001,Switzerland,Europe
CHN,1,259,3,0.1165057915057915,0.02942028655370471,0.11290591875716208,0.12010566425442093,NA,NA,NA,NA,2010,China,Western Pacific
CHN,2,342,1,0.008,0,0.008,0.008,-0.10850579150579151,0.0018280876571563748,-0.11209603180957974,-0.10491555120200328,2010,China,Western Pacific
DEU,1,1,1,0.016,NA,NA,NA,NA,NA,NA,NA,1999,Germany,Europe
DEU,2,835,5,0.02398802395209581,0.0083544012036679,0.023420543502428896,0.024555504401762723,0.007988023952095809,NA,NA,NA,1999,Germany,Europe
ESP,1,1344,9,0.02409449404761905,0.021325527148415815,0.02295335174333455,0.025235636351903547,NA,NA,NA,NA,2002,Spain,Europe
ESP,2,4243,4,0.026225783643648363,0.0057558305160188335,0.026052545505998833,0.026399021781297893,0.002131289596029314,5.88374562122241e-4,9.778466750306478e-4,0.0032847325170279806,2002,Spain,Europe
FIN,1,179,3,0.027614525139664805,0.005568976180610503,0.026793115561376542,0.028435934717953068,NA,NA,NA,NA,2006,Finland,Europe
FIN,2,9,1,0.016333333333333335,0.00282842712474619,0.014159211784737221,0.01850745488192945,-0.01128119180633147,0.0010306059583584856,-0.013314371358465471,-0.009248012254197469,2006,Finland,Europe
FRA,1,591,4,0.014456852791878173,0.0032926857169847555,0.014190843716468771,0.014722861867287575,NA,NA,NA,NA,2000,France,Europe
FRA,2,213,3,0.014812206572769953,0.0021896931193951374,0.014516454436257709,0.015107958709282197,3.553537808917793e-4,2.0212717645358823e-4,-4.1406974132553664e-5,7.521145359161122e-4,2000,France,Europe
GBR,1,392,5,0.013770408163265305,0.0028524394973730117,0.013487159482657312,0.014053656843873299,NA,NA,NA,NA,2006,United Kingdom,Europe
GBR,2,1470,2,0.008183673469387755,0.006267380634350965,0.00786302182674904,0.00850432511202647,-0.00558673469387755,2.1789281767077407e-4,-0.006014074850545234,-0.005159394537209866,2006,United Kingdom,Europe
GRC,1,49,1,0.004,0,0.004,0.004,NA,NA,NA,NA,1998,Greece,Europe
GRC,2,329,2,0.009170212765957447,0.0026158919135493954,0.008886502270976718,0.009453923260938177,0.005170212765957447,1.4421878962454703e-4,0.0048866363363984505,0.005453789195516444,1998,Greece,Europe
HKG,1,25,1,0.008,0,0.008,0.008,NA,NA,NA,NA,2001,Hong Kong,Unclassifed
HKG,2,26,1,0.015,0,0.015,0.015,0.006999999999999999,0,0.006999999999999999,0.006999999999999999,2001,Hong Kong,Unclassifed
HUN,1,219,2,0.027187214611872144,0.007363225074003083,0.026206569558028497,0.02816785966571579,NA,NA,NA,NA,2001,Hungary,Europe
HUN,2,315,1,0.015,0,0.015,0.015,-0.012187214611872145,4.975606408072204e-4,-0.013164639219171383,-0.011209790004572907,2001,Hungary,Europe
IND,1,78,1,0.02423076923076923,0.017303196219213356,0.020329501290290864,0.028132037171247595,NA,NA,NA,NA,2013,India,South-East Asia
IND,2,206,1,0.016,0,0.016,0.016,-0.008230769230769229,0.001959201169631288,-0.012087284128546916,-0.004374254332991542,2013,India,South-East Asia
ISL,1,10,1,0.0179,0.005506561742341787,0.013960843029461947,0.02183915697053805,NA,NA,NA,NA,2004,Iceland,Europe
ISL,2,6,2,0.014,0.0021908902300206644,0.011700801709516404,0.016299198290483596,-0.003899999999999999,0.0019576062480034695,-0.008098647820902558,2.986478209025612e-4,2004,Iceland,Europe
ITA,1,1415,4,0.02858798586572438,0.010974536419270963,0.028015680313790974,0.029160291417657788,NA,NA,NA,NA,1999,Italy,Europe
ITA,2,936,6,0.03820726495726495,0.022656887151575815,0.036753905779951725,0.03966062413457818,0.009619279091540572,7.95959332011704e-4,0.008058423215533036,0.011180134967548107,1999,Italy,Europe
JPN,1,3469,5,0.015505332948976651,0.011639128208825995,0.01511788087350107,0.01589278502445223,NA,NA,NA,NA,1995,Japan,Western Pacific
JPN,2,2515,9,0.012170974155069583,0.004174994753369198,0.012007727545614305,0.012334220764524862,-0.0033343587939070676,2.1443425159372247e-4,-0.0037547272588131044,-0.002913990329001031,1995,Japan,Western Pacific
MEX,1,146,2,0.010301369863013698,0.003299675768844462,0.009761632139498225,0.010841107586529172,NA,NA,NA,NA,2000,Mexico,Americas
MEX,2,197,1,0.032,0,0.032,0.032,0.0216986301369863,2.730831096774223e-4,0.021161490644504764,0.022235769629467838,2000,Mexico,Americas
NLD,1,62,2,0.013532258064516129,0.00287281059577484,0.012802700777496566,0.014261815351535692,NA,NA,NA,NA,2001,Netherlands,Europe
NLD,2,142,1,0.015,0,0.015,0.015,0.0014677419354838708,3.648473105108976e-4,7.483442597608141e-4,0.0021871396112069274,2001,Netherlands,Europe
NOR,1,98,1,0.015,0,0.015,0.015,NA,NA,NA,NA,2003,Norway,Europe
